lvl#, ch#, challengeWord, 2XLetter, allPossibleWords, has2X, splitDistanceBetweenLetters, maxSequenceLetters, firstIndex
0, 0, hatdel, , ate hat tel hade hate had hae del , False False False False False False False False , 1 0 1 1 1 1 2 0 , 2 3 2 2 3 2 2 3 , 1 0 2 0 0 0 0 3 
0, 1, trodue, u, rode due roue roe trod toe tod trode rue rod true ode , False True True False False False False False True False True False , 1 0 1 2 0 3 1 1 2 0 2 1 , 3 3 2 2 4 1 2 4 2 3 2 2 , 1 3 1 1 0 0 0 0 1 1 0 2 
0, 2, borsex, x, rex ors ore bore box bos ose sex , True False False False True False False True , 1 0 1 1 3 1 1 0 , 2 3 2 3 2 2 2 3 , 2 1 1 0 0 0 1 3 
0, 3, camjoe, m, came cam joe camo , True True False True , 2 0 0 1 , 3 3 3 3 , 0 0 3 0 
0, 4, lieoud, , led lieu leud oud leu loud lid lie lied , False False False False False False False False False , 3 1 2 0 2 2 3 0 2 , 1 3 2 3 1 3 2 3 3 , 0 0 0 3 0 0 0 0 0 
0, 5, puitsh, , puts push pis pus uts pith pit pits put its pish , False False False False False False False False False False False , 1 2 2 2 1 2 1 1 1 0 2 , 2 2 1 2 2 2 2 3 2 3 2 , 0 0 0 0 1 0 0 0 0 2 0 
0, 6, wonage, , nae wag wage wae won one wog age woe nag , False False False False False False False False False False , 1 2 2 3 0 2 2 0 3 0 , 2 2 3 1 3 2 2 3 2 3 , 2 0 0 0 0 1 0 3 0 2 
0, 7, hpenlp, p, hep pen hen help pep , False True False False True , 3 0 1 2 2 , 1 3 2 2 2 , 0 1 0 0 1 
0, 8, bulask, k, las bus busk bas bulk bask ask , False False True False True True True , 0 2 2 2 2 2 0 , 3 2 2 2 3 3 3 , 2 0 0 0 0 0 3 
0, 9, prour, p, our pro pur pour , False True True True , 0 0 2 1 , 3 3 2 3 , 2 0 0 0 
1, 0, lumish, u, lis lums lush lum mis , False True True True False , 2 1 2 0 0 , 2 3 2 3 3 , 0 0 0 0 2 
1, 1, cparsa, p, pas ars pars para casa car par cars , True False True True False False True False , 1 0 0 1 2 1 0 1 , 2 3 4 3 2 2 3 3 , 1 2 1 1 0 0 1 0 
1, 2, worcum, m, worm rum orc cum , True True False True , 2 1 0 0 , 3 2 3 3 , 0 2 1 3 
1, 3, maytoy, , mat may toy mayo , False False False False , 1 0 0 1 , 2 3 3 3 , 0 0 3 0 
1, 4, ytarn, , tarn tar yar yarn tan , False False False False False , 0 0 1 1 1 , 4 3 2 3 2 , 1 1 0 0 1 
1, 5, wadill, w, wad dill all ail wall ill wadi wail will , True False False False True False True True True , 0 0 2 1 2 0 0 1 2 , 3 4 2 2 2 3 4 2 3 , 0 2 1 1 0 3 0 0 0 
1, 6, refap, , rap rep ref reap , False False False False , 2 2 0 1 , 2 2 3 2 , 0 0 0 0 
1, 7, bocoxk, x, book cox box boo bock , False True True False False , 2 0 2 1 2 , 2 3 2 2 3 , 0 2 0 0 0 
